Date,bond_yield,budget_sur_def,fed_interest_rates,m2_money_supply,unemployment,us_dollar_index,volatility_index,cpi_all,cpi_adjusted,debt_to_gdp
1990-01-01,8.99,8282.0,7.97,1.848,5.4,94.540001,17.24,127.5,4.905908309,0.5169001452653558
1990-02-01,9.22,-35207.0,8.25,1.848,5.3,93.449997,24.87,128.0,4.91755923,0.5183134642815972
1990-03-01,9.37,-53324.0,8.3,1.859,5.2,94.720001,21.9,128.6,5.19152475,0.5180177005879838
1990-04-01,9.46,41829.0,8.3,1.859,5.4,94.32,22.84,128.9,5.276985365,0.5138902032003877
1990-05-01,9.47,-42482.0,8.11,1.859,5.4,93.300003,18.43,129.1,5.166732439,0.5265579289224815
1990-06-01,9.26,-11105.0,8.28,1.856,5.2,93.360001,17.09,129.9,5.370697673,0.5329240533349647
1990-07-01,9.24,-25924.0,8.32,1.856,5.5,90.849998,16.26,130.5,5.516605952,0.5387593522718431
1990-08-01,9.41,-52719.0,8.07,1.856,5.7,89.080002,21.64,131.6,5.836270781,0.5379281131070456
1990-09-01,9.56,20768.0,8.06,1.839,5.9,87.389999,29.9,132.5,5.930360317,0.5436544805572537
1990-10-01,9.53,-31364.0,8.25,1.839,5.9,85.519997,28.06,133.4,5.798506168,0.5538797478588973
1990-11-01,9.3,-47723.0,8.06,1.839,6.2,83.620003,30.25,133.7,5.683108196,0.5686514287979165
1990-12-01,9.05,-7387.0,7.61,1.826,6.3,85.389999,22.16,134.2,5.651092078,0.5749291901581031
1991-01-01,9.04,1650.0,5.53,1.826,6.4,85.220001,26.38,134.7,5.815290409,0.5840092868843305
1991-02-01,8.83,-26191.0,6.3,1.826,6.6,84.230003,21.04,134.8,5.8623588,0.5912998754966299
1991-03-01,8.93,-41173.0,6.35,1.833,6.8,92.459999,21.23,134.8,5.474284579,0.5828595453920783
1991-04-01,8.86,30009.0,6.48,1.833,6.7,94.459999,17.42,135.1,5.276160434,0.5811131375245598
1991-05-01,8.86,-53367.0,5.9,1.833,6.9,93.580002,17.77,135.6,5.222445891,0.5881150905634891
1991-06-01,9.01,-2579.0,5.92,1.85,6.9,96.75,15.93,136.0,4.934653949,0.5838763751549524
1991-07-01,9.0,-40831.0,6.38,1.85,6.8,97.32,18.64,136.2,4.713410392,0.5921587666777797
1991-08-01,8.75,-43649.0,5.86,1.85,6.9,96.559998,15.47,136.6,4.393094508,0.6043245363270687
1991-09-01,8.61,-6887.0,5.5,1.861,6.9,93.769997,14.46,137.0,4.443594793,0.6077381579493466
1991-10-01,8.55,-36594.0,5.4,1.861,7.0,92.029999,14.81,137.2,4.288991989,0.6217056639434021
1991-11-01,8.48,-44684.0,5.03,1.861,7.0,89.760002,15.6,137.8,4.34967757,0.628282363908603
1991-12-01,8.31,-2534.0,4.86,1.874,7.3,87.870003,20.18,138.2,4.346967664,0.6390908082252964
1992-01-01,8.2,-15668.0,4.09,1.874,7.3,88.68,19.31,138.3,4.052308746,0.6300857663447796
1992-02-01,8.29,-49180.0,4.4,1.874,7.4,89.919998,17.4,138.6,3.861765064,0.6319873545952902
1992-03-01,8.35,-50712.0,4.13,1.905,7.4,91.529999,16.88,139.1,3.975844252,0.6240376907638249
1992-04-01,8.33,14603.0,4.98,1.905,7.4,90.779999,16.48,139.4,4.066438773,0.6257530989776631
1992-05-01,8.28,-46773.0,3.75,1.905,7.6,89.599998,16.61,139.7,3.926410529,0.637730048218425
1992-06-01,8.22,3782.0,3.96,1.931,7.8,87.809998,14.43,140.1,3.860188559,0.6388197557929541
1992-07-01,8.07,-43147.0,3.89,1.931,7.7,83.970001,13.34,140.5,3.769367667,0.643677642800939
1992-08-01,7.95,-24742.0,3.37,1.931,7.6,82.57,13.17,140.8,3.628120085,0.657261452240194
1992-09-01,7.92,5310.0,3.39,1.951,7.6,85.959999,13.4,141.1,3.349237754,0.6498919366429455
1992-10-01,7.99,-48792.0,3.58,1.951,7.3,87.93,16.31,141.7,3.6359146,0.6435154576478307
1992-11-01,8.1,-32726.0,3.04,1.951,7.4,91.550003,16.67,142.1,3.629469745,0.6544422878507269
1992-12-01,7.98,-38947.0,3.17,1.971,7.4,92.519997,12.8,142.3,3.478262556,0.6557436489322545
1993-01-01,7.91,29817.0,2.66,1.971,7.3,93.75,12.57,142.8,3.528455109,0.6606771807362226
1993-02-01,7.71,-48498.0,3.25,1.971,7.1,94.860001,12.33,143.1,3.561853788,0.6716141669040558
1993-03-01,7.58,-43974.0,3.65,1.985,7.0,94.800003,13.6,143.3,3.334428143,0.6670055349298915
1993-04-01,7.46,7817.0,3.31,1.985,7.1,92.309998,13.02,143.8,3.404237829,0.6712499553895254
1993-05-01,7.43,-36963.0,3.01,1.985,7.1,91.379997,12.42,144.2,3.532736691,0.6742019571624889
1993-06-01,7.33,11099.0,3.33,1.997,7.0,94.150002,13.67,144.3,3.569326945,0.6831056459817921
1993-07-01,7.17,-39577.0,3.27,1.997,6.9,95.620003,11.51,144.5,3.422616714,0.6818124356845834
1993-08-01,6.85,-23078.0,3.07,1.997,6.8,95.800003,11.47,144.8,3.508810757,0.6965753757066522
1993-09-01,6.66,8517.0,3.25,2.023,6.7,94.150002,11.48,145.0,3.642383692,0.6841858079101328
1993-10-01,6.67,-45422.0,3.19,2.023,6.8,95.339996,11.83,145.6,3.424737275,0.6849557254633692
1993-11-01,6.93,-38381.0,3.15,2.023,6.6,96.370003,11.78,146.0,3.436277096,0.6867379420217864
1993-12-01,6.93,-7705.0,3.07,2.047,6.5,96.849998,13.83,146.3,3.548475916,0.6821440958607868
1994-01-01,6.92,15248.0,2.85,2.047,6.6,97.089996,11.66,146.3,3.375759896,0.6852358715687613
1994-02-01,7.08,-41566.0,3.25,2.047,6.6,97.099998,10.65,146.7,3.415920384,0.6762697220156354
1994-03-01,7.48,-32315.0,3.31,2.08,6.5,95.419998,15.83,147.1,3.570150943,0.6537802001978492
1994-04-01,7.88,17454.0,3.64,2.08,6.4,95.330002,20.45,147.2,3.354397547,0.6467151405194833
1994-05-01,7.99,-32057.0,3.73,2.08,6.1,93.75,14.11,147.5,3.225532887,0.6489367706136571
1994-06-01,7.97,14850.0,4.33,2.103,6.1,93.580002,12.72,147.9,3.194738495,0.6429889204516391
1994-07-01,8.11,-33198.0,3.82,2.103,6.1,90.559998,14.36,148.4,3.233880147,0.6467400756369291
1994-08-01,8.07,-24275.0,4.34,2.103,6.0,90.309998,11.17,149.0,3.306714086,0.6520462551535757
1994-09-01,8.34,4266.0,4.76,2.139,5.9,89.720001,11.86,149.3,3.254281644,0.6326382025751387
1994-10-01,8.57,-31343.0,5.44,2.139,5.8,88.370003,14.28,149.4,3.164264289,0.6353611020794905
1994-11-01,8.68,-37243.0,4.76,2.139,5.6,89.269997,14.84,149.8,3.128282179,0.6375742962579045
1994-12-01,8.46,-4803.0,5.49,2.155,5.5,90.18,16.69,150.1,2.901446577,0.6346472463368531
1995-01-01,8.46,15634.0,4.94,2.155,5.6,89.629997,13.2,150.5,3.144200833,0.6421449641192993
1995-02-01,8.26,-38357.0,5.25,2.155,5.4,88.489998,11.73,150.9,3.124100115,0.653963175304751
1995-03-01,8.12,-50544.0,5.56,2.151,5.4,86.099998,11.65,151.2,3.167481169,0.6505740603775466
1995-04-01,8.03,49722.0,6.3,2.151,5.8,83.029999,13.37,151.8,3.306684647,0.6523944014223987
1995-05-01,7.65,-39555.0,6.1,2.151,5.6,84.839996,12.14,152.1,3.355294523,0.6745155023804916
1995-06-01,7.3,12813.0,6.04,2.142,5.6,83.580002,12.21,152.4,3.332283478,0.6725778898560156
1995-07-01,7.41,-13582.0,6.11,2.142,5.7,82.800003,11.38,152.6,3.386948974,0.6694541609045799
1995-08-01,7.57,-33849.0,5.55,2.142,5.7,86.629997,13.56,152.9,3.23814109,0.6735540551533393
1995-09-01,7.32,7191.0,5.72,2.147,5.6,87.470001,11.29,153.1,3.351697522,0.66805307783021
1995-10-01,7.12,-22758.0,6.2,2.147,5.5,84.900002,13.95,153.5,3.46411606,0.6735081477387319
1995-11-01,7.02,-38452.0,5.76,2.147,5.6,85.379997,13.41,153.7,3.37996065,0.6781269451376929
1995-12-01,6.82,5283.0,5.56,2.147,5.6,85.629997,11.11,153.9,3.379829487,0.6743116957456013
1996-01-01,6.81,19456.0,4.73,2.147,5.6,87.720001,12.19,154.7,3.277075064,0.6745785837853061
1996-02-01,6.99,-44346.0,5.27,2.147,5.5,87.559998,12.65,155.0,3.259936249,0.666089002331839
1996-03-01,7.35,-47071.0,5.81,2.165,5.5,87.120003,16.72,155.5,3.134500987,0.6593184975674854
1996-04-01,7.5,72404.0,5.53,2.165,5.6,88.290001,17.9,156.1,3.004778103,0.652309768400715
1996-05-01,7.62,-53051.0,5.41,2.165,5.6,89.040001,16.07,156.4,3.047772222,0.652235075017055
1996-06-01,7.71,34340.0,5.31,2.171,5.3,88.559998,16.07,156.7,3.051784638,0.6511541420624817
1996-07-01,7.65,-26856.0,7.8,2.171,5.5,88.32,13.78,157.0,3.087421545,0.653207906920917
1996-08-01,7.46,-41831.0,6.29,2.171,5.1,86.959999,18.76,157.2,3.083473301,0.6521748754951172
1996-09-01,7.66,35257.0,5.28,2.176,5.2,88.120003,17.01,157.7,3.063090207,0.6486136237917491
1996-10-01,7.39,-39805.0,5.53,2.176,5.2,88.529999,17.05,158.2,2.943741816,0.6582143742241764
1996-11-01,7.1,-37878.0,5.19,2.176,5.4,87.959999,17.89,158.7,2.980390413,0.6694253387896589
1996-12-01,7.2,18490.0,5.44,2.174,5.4,89.139999,17.93,159.1,3.05642197,0.6572314653659632
1997-01-01,7.42,13364.0,6.26,2.174,5.3,93.589996,20.92,159.4,2.91241515,0.654301773778782
1997-02-01,7.31,-44010.0,5.37,2.174,5.2,95.800003,19.47,159.7,2.802464903,0.6566814008230639
1997-03-01,7.55,-21323.0,5.5,2.19,5.2,96.32,21.1,159.8,2.854608076,0.6414264878078842
1997-04-01,7.73,93939.0,6.18,2.19,5.1,97.470001,20.84,159.9,2.910920374,0.6407339040301919
1997-05-01,7.58,-48494.0,5.73,2.19,4.9,97.349998,19.87,159.9,2.870203143,0.6419429909641294
1997-06-01,7.41,54635.0,5.58,2.192,5.0,96.220001,20.85,160.2,2.828445596,0.6372518519655774
1997-07-01,7.14,-25624.0,6.24,2.192,4.9,100.0,21.0,160.4,2.752239262,0.6469600036847111
1997-08-01,7.22,-35189.0,5.65,2.192,4.8,101.790001,22.29,160.8,2.653670773,0.6436700830664553
1997-09-01,7.15,49940.0,5.52,2.184,4.9,100.230003,24.53,161.2,2.544804261,0.6415650998807083
1997-10-01,7.0,-35968.0,5.65,2.184,4.7,98.220001,22.32,161.5,2.618900715,0.6477709608372528
1997-11-01,6.87,-17349.0,5.56,2.184,4.6,97.989998,35.09,161.7,2.548580799,0.6517294787635781
1997-12-01,6.76,13639.0,5.92,2.17,4.7,99.730003,26.01,161.8,2.621535622,0.6515550703323078
1998-01-01,6.61,25379.0,5.84,2.17,4.6,101.68,24.01,162.0,2.673178027,0.655119055138003
1998-02-01,6.67,-41750.0,5.48,2.17,4.6,101.040001,21.36,162.0,2.691552555,0.654769423717191
1998-03-01,6.72,-13813.0,5.57,2.155,4.7,101.690002,19.19,162.0,2.672304266,0.6485613396837507
1998-04-01,6.69,124603.0,5.72,2.155,4.3,102.110001,23.37,162.2,2.640497846,0.6434664084045629
1998-05-01,6.69,-38779.0,5.46,2.155,4.4,100.660004,19.34,162.6,2.611332031,0.6467664076576036
