Date,High
1/1/1985,153.889999
2/1/1985,164.720001
3/1/1985,163.830002
4/1/1985,153.160004
5/1/1985,154.520004
6/1/1985,149.410004
7/1/1985,146.610001
8/1/1985,139.850006
9/1/1985,144.190002
10/1/1985,132.380005
11/1/1985,129.440002
12/1/1985,127.68
1/1/1986,125.209999
2/1/1986,123.260002
3/1/1986,118.709999
4/1/1986,121.160004
5/1/1986,117.650002
6/1/1986,118.029999
7/1/1986,112.089996
8/1/1986,108.720001
9/1/1986,108.980003
10/1/1986,109.769997
11/1/1986,109.690002
12/1/1986,107.940002
1/1/1987,104.480003
2/1/1987,101.209999
3/1/1987,100.440002
4/1/1987,98.440002
5/1/1987,97.910004
6/1/1987,99.059998
7/1/1987,100.230003
8/1/1987,101.739998
9/1/1987,98.690002
10/1/1987,98.809998
11/1/1987,93.360001
12/1/1987,90.790001
1/1/1988,90.809998
2/1/1988,92.040001
3/1/1988,90.959999
4/1/1988,90.120003
5/1/1988,91.120003
6/1/1988,96.089996
7/1/1988,98.599998
8/1/1988,99.610001
9/1/1988,98.830002
10/1/1988,97.650002
11/1/1988,93.959999
12/1/1988,93.660004
1/1/1989,96.839996
2/1/1989,97.169998
3/1/1989,98.529999
4/1/1989,98.040001
5/1/1989,104.279999
6/1/1989,106.559998
7/1/1989,101.239998
8/1/1989,102.459999
9/1/1989,104.190002
10/1/1989,101.309998
11/1/1989,99.059998
12/1/1989,96.650002
1/1/1990,94.540001
2/1/1990,93.449997
3/1/1990,94.720001
4/1/1990,94.32
5/1/1990,93.300003
6/1/1990,93.360001
7/1/1990,90.849998
8/1/1990,89.080002
9/1/1990,87.389999
10/1/1990,85.519997
11/1/1990,83.620003
12/1/1990,85.389999
1/1/1991,85.220001
2/1/1991,84.230003
3/1/1991,92.459999
4/1/1991,94.459999
5/1/1991,93.580002
6/1/1991,96.75
7/1/1991,97.32
8/1/1991,96.559998
9/1/1991,93.769997
10/1/1991,92.029999
11/1/1991,89.760002
12/1/1991,87.870003
1/1/1992,88.68
2/1/1992,89.919998
