Date,High
1/1/1985,180.270004
2/1/1985,183.949997
3/1/1985,183.889999
4/1/1985,183.610001
5/1/1985,189.979996
6/1/1985,191.850006
7/1/1985,196.070007
8/1/1985,192.169998
9/1/1985,188.800003
10/1/1985,190.149994
11/1/1985,203.399994
12/1/1985,213.080002
1/1/1986,214.570007
2/1/1986,227.919998
3/1/1986,240.110001
4/1/1986,245.470001
5/1/1986,249.190002
6/1/1986,251.809998
7/1/1986,253.199997
8/1/1986,254.240005
9/1/1986,254.130005
10/1/1986,244.509995
11/1/1986,249.220001
12/1/1986,254.869995
1/1/1987,280.959991
2/1/1987,287.549988
3/1/1987,302.720001
4/1/1987,303.649994
5/1/1987,298.690002
6/1/1987,310.269989
7/1/1987,318.850006
8/1/1987,337.890015
9/1/1987,332.179993
10/1/1987,328.940002
11/1/1987,257.209991
12/1/1987,253.350006
1/1/1988,261.779999
2/1/1988,267.820007
3/1/1988,272.640015
4/1/1988,272.049988
5/1/1988,263.700012
6/1/1988,276.880005
7/1/1988,276.359985
8/1/1988,274.200012
9/1/1988,274.869995
10/1/1988,283.950012
11/1/1988,280.369995
12/1/1988,280.450012
1/1/1989,297.51001
2/1/1989,300.570007
3/1/1989,299.98999
4/1/1989,310.450012
5/1/1989,323.059998
6/1/1989,329.190002
7/1/1989,346.079987
8/1/1989,352.730011
9/1/1989,354.130005
10/1/1989,360.440002
11/1/1989,346.5
12/1/1989,354.100006
1/1/1990,360.589996
2/1/1990,336.089996
3/1/1990,344.48999
4/1/1990,347.299988
5/1/1990,362.26001
6/1/1990,368.779999
7/1/1990,369.779999
8/1/1990,357.350006
9/1/1990,326.529999
10/1/1990,319.690002
11/1/1990,323.019989
12/1/1990,333.980011
1/1/1991,343.929993
2/1/1991,370.959991
3/1/1991,379.660004
4/1/1991,391.26001
5/1/1991,389.850006
6/1/1991,389.809998
7/1/1991,387.809998
8/1/1991,396.820007
9/1/1991,397.619995
10/1/1991,393.809998
11/1/1991,398.220001
12/1/1991,418.320007
1/1/1992,421.179993
2/1/1992,418.079987
3/1/1992,413.779999
4/1/1992,416.279999
5/1/1992,418.75
6/1/1992,417.299988
7/1/1992,424.799988
8/1/1992,425.140015
9/1/1992,425.269989
10/1/1992,421.160004
11/1/1992,431.929993
12/1/1992,442.649994
1/1/1993,442.660004
2/1/1993,450.040009
3/1/1993,456.76001
4/1/1993,452.630005
5/1/1993,454.549988
6/1/1993,455.630005
7/1/1993,451.149994
8/1/1993,463.559998
9/1/1993,463.799988
10/1/1993,471.100006
11/1/1993,469.109985
12/1/1993,471.290009
1/1/1994,482.850006
2/1/1994,482.230011
3/1/1994,471.089996
4/1/1994,452.790009
5/1/1994,457.769989
6/1/1994,463.230011
7/1/1994,459.329987
8/1/1994,477.589996
9/1/1994,475.48999
10/1/1994,474.73999
11/1/1994,472.26001
12/1/1994,462.730011
1/1/1995,471.359985
2/1/1995,489.190002
3/1/1995,508.149994
4/1/1995,515.289978
5/1/1995,533.409973
6/1/1995,551.070007
7/1/1995,565.400024
8/1/1995,565.619995
9/1/1995,587.609985
10/1/1995,590.659973
11/1/1995,608.690002
12/1/1995,622.880005
1/1/1996,636.179993
2/1/1996,664.22998
3/1/1996,656.969971
4/1/1996,656.679993
5/1/1996,681.099976
6/1/1996,680.320007
7/1/1996,675.880005
8/1/1996,670.679993
9/1/1996,690.880005
10/1/1996,714.099976
11/1/1996,762.119995
12/1/1996,761.75
1/1/1997,794.669983
2/1/1997,817.679993
3/1/1997,814.900024
4/1/1997,804.130005
5/1/1997,851.869995
6/1/1997,902.090027
7/1/1997,957.72998
8/1/1997,964.169983
9/1/1997,960.590027
10/1/1997,983.119995
11/1/1997,964.549988
12/1/1997,986.25
1/1/1998,992.650024
2/1/1998,1051.660034
3/1/1998,1113.069946
4/1/1998,1132.97998
5/1/1998,1130.52002
6/1/1998,1145.150024
7/1/1998,1190.579956
8/1/1998,1121.790039
9/1/1998,1066.109985
10/1/1998,1103.780029
11/1/1998,1192.969971
12/1/1998,1244.930054
1/1/1999,1280.369995
2/1/1999,1283.839966
3/1/1999,1323.819946
4/1/1999,1371.560059
5/1/1999,1375.97998
6/1/1999,1372.930054
7/1/1999,1420.329956
8/1/1999,1382.839966
9/1/1999,1361.390015
10/1/1999,1373.170044
11/1/1999,1425.310059
12/1/1999,1473.099976
1/1/2000,1478
2/1/2000,1444.550049
3/1/2000,1552.869995
4/1/2000,1527.189941
5/1/2000,1481.51001
6/1/2000,1488.930054
7/1/2000,1517.319946
8/1/2000,1525.209961
9/1/2000,1530.089966
10/1/2000,1454.819946
11/1/2000,1438.459961
12/1/2000,1389.050049
1/1/2001,1383.369995
2/1/2001,1376.380005
3/1/2001,1267.420044
4/1/2001,1269.300049
5/1/2001,1315.930054
6/1/2001,1286.619995
7/1/2001,1239.780029
8/1/2001,1226.27002
9/1/2001,1155.400024
10/1/2001,1110.609985
11/1/2001,1163.380005
12/1/2001,1173.619995
1/1/2002,1176.969971
2/1/2002,1130.199951
3/1/2002,1173.939941
4/1/2002,1147.839966
5/1/2002,1106.589966
6/1/2002,1070.73999
7/1/2002,994.460022
8/1/2002,965
9/1/2002,924.02002
10/1/2002,907.440002
11/1/2002,941.820007
12/1/2002,954.280029
1/1/2003,935.049988
2/1/2003,864.640015
3/1/2003,895.900024
4/1/2003,924.23999
5/1/2003,965.380005
6/1/2003,1015.330017
7/1/2003,1015.409973
8/1/2003,1011.01001
9/1/2003,1040.290039
10/1/2003,1053.790039
11/1/2003,1063.650024
12/1/2003,1112.560059
1/1/2004,1155.380005
2/1/2004,1158.97998
3/1/2004,1163.22998
4/1/2004,1150.569946
5/1/2004,1127.73999
6/1/2004,1146.339966
7/1/2004,1140.839966
8/1/2004,1109.680054
9/1/2004,1131.540039
10/1/2004,1142.050049
11/1/2004,1188.459961
12/1/2004,1217.329956
1/1/2005,1217.800049
2/1/2005,1212.439941
3/1/2005,1229.109985
4/1/2005,1191.880005
5/1/2005,1199.560059
6/1/2005,1219.589966
7/1/2005,1245.150024
8/1/2005,1245.859985
9/1/2005,1243.130005
10/1/2005,1233.339966
11/1/2005,1270.640015
12/1/2005,1275.800049
1/1/2006,1294.900024
2/1/2006,1297.569946
3/1/2006,1310.880005
4/1/2006,1318.160034
5/1/2006,1326.699951
6/1/2006,1290.680054
7/1/2006,1280.420044
8/1/2006,1306.73999
9/1/2006,1340.280029
10/1/2006,1389.449951
11/1/2006,1407.890015
12/1/2006,1431.810059
1/1/2007,1441.609985
2/1/2007,1461.569946
3/1/2007,1438.890015
4/1/2007,1498.02002
5/1/2007,1535.560059
6/1/2007,1540.560059
7/1/2007,1555.900024
8/1/2007,1503.890015
9/1/2007,1538.73999
10/1/2007,1576.089966
11/1/2007,1545.790039
12/1/2007,1523.569946
1/1/2008,1471.77002
2/1/2008,1396.02002
3/1/2008,1359.680054
4/1/2008,1404.569946
5/1/2008,1440.23999
6/1/2008,1404.050049
7/1/2008,1292.170044
8/1/2008,1313.150024
9/1/2008,1303.040039
10/1/2008,1167.030029
11/1/2008,1007.51001
12/1/2008,918.849976
1/1/2009,943.849976
2/1/2009,875.01001
3/1/2009,832.97998
4/1/2009,888.700012
5/1/2009,930.169983
6/1/2009,956.22998
7/1/2009,996.679993
8/1/2009,1039.469971
9/1/2009,1080.150024
10/1/2009,1101.359985
11/1/2009,1113.689941
12/1/2009,1130.380005
1/1/2010,1150.449951
2/1/2010,1112.420044
3/1/2010,1180.689941
4/1/2010,1219.800049
5/1/2010,1205.130005
6/1/2010,1131.22998
7/1/2010,1120.949951
8/1/2010,1129.23999
9/1/2010,1157.160034
10/1/2010,1196.140015
11/1/2010,1227.079956
12/1/2010,1262.599976
1/1/2011,1302.670044
2/1/2011,1344.069946
3/1/2011,1332.280029
4/1/2011,1364.560059
5/1/2011,1370.579956
6/1/2011,1345.199951
7/1/2011,1356.47998
8/1/2011,1307.380005
9/1/2011,1229.290039
10/1/2011,1292.660034
11/1/2011,1277.550049
12/1/2011,1269.369995
1/1/2012,1333.469971
2/1/2012,1378.040039
3/1/2012,1419.150024
4/1/2012,1422.380005
5/1/2012,1415.319946
6/1/2012,1363.459961
7/1/2012,1391.73999
8/1/2012,1426.680054
9/1/2012,1474.51001
10/1/2012,1470.959961
11/1/2012,1434.27002
12/1/2012,1448
1/1/2013,1509.939941
2/1/2013,1530.939941
3/1/2013,1570.280029
4/1/2013,1597.569946
5/1/2013,1687.180054
6/1/2013,1654.189941
7/1/2013,1698.780029
8/1/2013,1709.670044
9/1/2013,1729.859985
10/1/2013,1775.219971
11/1/2013,1813.550049
12/1/2013,1849.439941
1/1/2014,1850.839966
2/1/2014,1867.920044
3/1/2014,1883.969971
4/1/2014,1897.280029
5/1/2014,1924.030029
6/1/2014,1968.170044
7/1/2014,1991.390015
8/1/2014,2005.040039
9/1/2014,2019.26001
10/1/2014,2018.189941
11/1/2014,2075.76001
12/1/2014,2093.550049
1/1/2015,2072.360107
2/1/2015,2119.590088
3/1/2015,2117.52002
4/1/2015,2125.919922
5/1/2015,2134.719971
6/1/2015,2129.870117
7/1/2015,2132.820068
8/1/2015,2112.659912
9/1/2015,2020.859985
10/1/2015,2094.320068
11/1/2015,2116.47998
12/1/2015,2104.27002
1/1/2016,2038.199951
2/1/2016,1962.959961
3/1/2016,2072.209961
4/1/2016,2111.050049
5/1/2016,2103.47998
6/1/2016,2120.550049
7/1/2016,2177.090088
8/1/2016,2193.810059
9/1/2016,2187.870117
10/1/2016,2169.600098
11/1/2016,2214.100098
12/1/2016,2277.530029
1/1/2017,2300.98999
2/1/2017,2371.540039
3/1/2017,2400.97998
4/1/2017,2398.159912
5/1/2017,2418.709961
6/1/2017,2453.820068
7/1/2017,2484.040039
8/1/2017,2490.870117
9/1/2017,2519.439941
10/1/2017,2582.97998
11/1/2017,2657.73999
12/1/2017,2694.969971
1/1/2018,2872.870117
2/1/2018,2835.959961
3/1/2018,2801.899902
4/1/2018,2717.48999
5/1/2018,2742.23999
6/1/2018,2791.469971
7/1/2018,2848.030029
8/1/2018,2916.5
9/1/2018,2940.909912
10/1/2018,2939.860107
11/1/2018,2815.149902
12/1/2018,2800.179932
1/1/2019,2708.949951
2/1/2019,2813.48999
3/1/2019,2860.310059
4/1/2019,2949.52002
5/1/2019,2954.129883
6/1/2019,2964.149902
7/1/2019,3027.97998
8/1/2019,3013.590088
9/1/2019,3021.98999
10/1/2019,3050.100098
11/1/2019,3154.26001
12/1/2019,3247.929932
1/1/2020,3337.77002
2/1/2020,3393.52002
3/1/2020,3136.719971
4/1/2020,2954.860107
5/1/2020,3068.669922
6/1/2020,3233.129883
7/1/2020,3279.98999
8/1/2020,3514.77002
9/1/2020,3588.110107
10/1/2020,3549.850098
11/1/2020,3645.98999
12/1/2020,3760.199951
1/1/2021,3870.899902
2/1/2021,3950.429932
3/1/2021,3994.409912
4/1/2021,4218.779785
5/1/2021,4238.040039
6/1/2021,4302.430176
7/1/2021,4429.970215
8/1/2021,4537.359863
9/1/2021,4545.850098
10/1/2021,4608.080078
11/1/2021,4743.830078
12/1/2021,4808.930176
1/1/2022,4818.620117
2/1/2022,4595.310059
3/1/2022,4637.299805
4/1/2022,4593.450195
5/1/2022,4307.660156
6/1/2022,4177.509766
7/1/2022,4140.149902
8/1/2022,4325.279785
9/1/2022,4119.279785
10/1/2022,3905.419922
11/1/2022,4080.110107
12/1/2022,4100.959961
1/1/2023,4094.209961
2/1/2023,4195.439941
3/1/2023,4110.75
4/1/2023,4170.060059
5/1/2023,4231.100098
6/1/2023,4458.47998
7/1/2023,4607.069824
8/1/2023,4584.620117
9/1/2023,4541.25
10/1/2023,4393.569824
11/1/2023,4587.640137
12/1/2023,4793.299805
1/1/2024,4931.089844
2/1/2024,5111.060059
3/1/2024,5264.850098
4/1/2024,5263.950195
5/1/2024,5096.120117
5/3/2024,5139.120117
