Date,bond_yield,budget_sur_def,fed_interest_rates,gdp,m2_money_supply,pers_consum_Expen,sp_500,unemployment,us_debt,us_dollar_index,volatility_index,cpi_all,cpi_adjusted
1990-01-01,8.99,8282.0,7.97,5872.701,1.848,3730.7,360.589996,5.4,3035.6,94.540001,17.24,127.5,4.905908309
1990-02-01,9.22,-35207.0,8.25,5872.701,1.848,3728.2,336.089996,5.3,3043.9,93.449997,24.87,128.0,4.91755923
1990-03-01,9.37,-53324.0,8.3,5960.028,1.859,3754.9,344.48999,5.2,3087.4,94.720001,21.9,128.6,5.19152475
1990-04-01,9.46,41829.0,8.3,5960.028,1.859,3770.0,347.299988,5.4,3062.8,94.32,22.84,128.9,5.276985365
1990-05-01,9.47,-42482.0,8.11,5960.028,1.859,3775.8,362.26001,5.4,3138.3,93.300003,18.43,129.1,5.166732439
1990-06-01,9.26,-11105.0,8.28,6015.116,1.856,3804.5,368.779999,5.2,3205.6,93.360001,17.09,129.9,5.370697673
1990-07-01,9.24,-25924.0,8.32,6015.116,1.856,3821.7,369.779999,5.5,3240.7,90.849998,16.26,130.5,5.516605952
1990-08-01,9.41,-52719.0,8.07,6015.116,1.856,3848.3,357.350006,5.7,3235.7,89.080002,21.64,131.6,5.836270781
1990-09-01,9.56,20768.0,8.06,6004.733,1.839,3870.1,326.529999,5.9,3264.5,87.389999,29.9,132.5,5.930360317
1990-10-01,9.53,-31364.0,8.25,6004.733,1.839,3870.6,319.690002,5.9,3325.9,85.519997,28.06,133.4,5.798506168
1990-11-01,9.3,-47723.0,8.06,6004.733,1.839,3871.9,323.019989,6.2,3414.6,83.620003,30.25,133.7,5.683108196
1990-12-01,9.05,-7387.0,7.61,6035.178,1.826,3861.3,333.980011,6.3,3469.8,85.389999,22.16,134.2,5.651092078
1991-01-01,9.04,1650.0,5.53,6035.178,1.826,3841.0,343.929993,6.4,3524.6,85.220001,26.38,134.7,5.815290409
1991-02-01,8.83,-26191.0,6.3,6035.178,1.826,3866.7,370.959991,6.6,3568.6,84.230003,21.04,134.8,5.8623588
1991-03-01,8.93,-41173.0,6.35,6126.862,1.833,3913.0,379.660004,6.8,3571.1,92.459999,21.23,134.8,5.474284579
1991-04-01,8.86,30009.0,6.48,6126.862,1.833,3907.1,391.26001,6.7,3560.4,94.459999,17.42,135.1,5.276160434
1991-05-01,8.86,-53367.0,5.9,6126.862,1.833,3933.2,389.850006,6.9,3603.3,93.580002,17.77,135.6,5.222445891
1991-06-01,9.01,-2579.0,5.92,6205.937,1.85,3940.5,389.809998,6.9,3623.5,96.75,15.93,136.0,4.934653949
1991-07-01,9.0,-40831.0,6.38,6205.937,1.85,3966.0,387.809998,6.8,3674.9,97.32,18.64,136.2,4.713410392
1991-08-01,8.75,-43649.0,5.86,6205.937,1.85,3969.1,396.820007,6.9,3750.4,96.559998,15.47,136.6,4.393094508
1991-09-01,8.61,-6887.0,5.5,6264.54,1.861,3984.7,397.619995,6.9,3807.2,93.769997,14.46,137.0,4.443594793
1991-10-01,8.55,-36594.0,5.4,6264.54,1.861,3976.0,393.809998,7.0,3894.7,92.029999,14.81,137.2,4.288991989
1991-11-01,8.48,-44684.0,5.03,6264.54,1.861,4003.6,398.220001,7.0,3935.9,89.760002,15.6,137.8,4.34967757
1991-12-01,8.31,-2534.0,4.86,6363.102,1.874,4020.5,418.320007,7.3,4066.6,87.870003,20.18,138.2,4.346967664
1992-01-01,8.2,-15668.0,4.09,6363.102,1.874,4084.7,421.179993,7.3,4009.3,88.68,19.31,138.3,4.052308746
1992-02-01,8.29,-49180.0,4.4,6363.102,1.874,4099.5,418.079987,7.4,4021.4,89.919998,17.4,138.6,3.861765064
1992-03-01,8.35,-50712.0,4.13,6470.763,1.905,4117.0,413.779999,7.4,4038.0,91.529999,16.88,139.1,3.975844252
1992-04-01,8.33,14603.0,4.98,6470.763,1.905,4131.5,416.279999,7.4,4049.1,90.779999,16.48,139.4,4.066438773
1992-05-01,8.28,-46773.0,3.75,6470.763,1.905,4158.4,418.75,7.6,4126.6,89.599998,16.61,139.7,3.926410529
1992-06-01,8.22,3782.0,3.96,6566.641,1.931,4177.1,417.299988,7.8,4194.9,87.809998,14.43,140.1,3.860188559
1992-07-01,8.07,-43147.0,3.89,6566.641,1.931,4204.8,424.799988,7.7,4226.8,83.970001,13.34,140.5,3.769367667
1992-08-01,7.95,-24742.0,3.37,6566.641,1.931,4220.9,425.140015,7.6,4316.0,82.57,13.17,140.8,3.628120085
1992-09-01,7.92,5310.0,3.39,6680.803,1.951,4255.3,425.269989,7.6,4341.8,85.959999,13.4,141.1,3.349237754
1992-10-01,7.99,-48792.0,3.58,6680.803,1.951,4284.7,421.160004,7.3,4299.2,87.93,16.31,141.7,3.6359146
1992-11-01,8.1,-32726.0,3.04,6680.803,1.951,4300.5,431.929993,7.4,4372.2,91.550003,16.67,142.1,3.629469745
1992-12-01,7.98,-38947.0,3.17,6729.459,1.971,4336.4,442.649994,7.4,4412.8,92.519997,12.8,142.3,3.478262556
